model,rho,eta,seeds,transient_fraction,va_mean,va_std,s_mean,s_std
vicsek,2.0,3.0,50,0.5,0.38885336129870124,0.039989235214980615,0.9599771228771229,0.010672847891918491
vicsek,2.0,3.5,50,0.5,0.24017566793206793,0.025145586245366402,0.9600785214785216,0.0153102423508092
vicsek,2.0,4.0,50,0.5,0.13760055014985015,0.009004010709142321,0.9758343656343653,0.010990884139728527
vicsek,2.0,4.5,50,0.5,0.09261475642357642,0.0040211503570061514,0.9875250749250749,0.0060464010917049915
vicsek,2.0,5.0,50,0.5,0.07394910187812188,0.0018072658197469632,0.9914271728271729,0.005268293125954749
vicsek,2.0,5.5,50,0.5,0.06618398745254744,0.0012542070611984849,0.9924333666333665,0.005134540998669306
vicsek,2.0,6.28,50,0.5,0.06277787678321678,0.0009077739692152724,0.9925074925074925,0.004799195103861297
vicsek,4.0,0.0,50,0.5,0.999999983036963,1.1994678466740115e-07,1.0,0.0
vicsek,4.0,0.25,50,0.5,0.9966323225974025,0.00019451406573325113,0.9997010989010989,0.0010005549240938933
vicsek,4.0,0.5,50,0.5,0.9861645584215784,0.0007491675246683039,0.9990204295704295,0.002014536260222686
vicsek,4.0,0.75,50,0.5,0.9685391914885115,0.0012970777829447568,0.9992427072927075,0.0016088287694172034
vicsek,4.0,1.0,50,0.5,0.9438731296303696,0.0018991640846751142,0.9993359640359641,0.001162404709200194
vicsek,4.0,1.5,50,0.5,0.8744323701898103,0.005354827818105747,0.9994004495504495,0.000658001817552854
vicsek,4.0,2.0,50,0.5,0.7834760005194805,0.006940936538386499,0.998878071928072,0.0009023075706877662
vicsek,4.0,2.5,50,0.5,0.6699551315884115,0.015123132979250154,0.9987762237762238,0.0008948739498625591
vicsek,4.0,3.0,50,0.5,0.5375066381818182,0.014282709242032333,0.9982053946053946,0.0014217873594317943
vicsek,4.0,3.5,50,0.5,0.3783498268931069,0.025847305529887576,0.9983879120879121,0.0011392107444921278
vicsek,4.0,4.0,50,0.5,0.20613142361638365,0.02106901084887016,0.999141058941059,0.0006411015514279987
vicsek,4.0,4.5,50,0.5,0.09947604399600403,0.005466993312102105,0.9998793206793205,0.0001902699942208919
vicsek,4.0,5.0,50,0.5,0.06193561546453547,0.0017839943797345445,0.99997002997003,7.658195059629477e-05
vicsek,4.0,5.5,50,0.5,0.04913257984015983,0.0010210604760823052,0.9999943556443557,1.752840257522144e-05
vicsek,4.0,6.28,50,0.5,0.04431550129870129,0.0007595050451085373,0.9999970029970029,1.94178176454796e-05
vicsek,8.0,0.0,50,0.5,1.0,0.0,1.0,0.0
vicsek,8.0,0.25,50,0.5,0.9970416034165833,7.561419103451157e-05,0.9999832417582418,5.9852971666492095e-05
vicsek,8.0,0.5,50,0.5,0.9880861641358643,0.000249254704189462,0.9999663336663338,0.00013248465647709937
vicsek,8.0,0.75,50,0.5,0.9732461025174826,0.0004621264700937909,0.9999712537462537,7.665152044037467e-05
vicsek,8.0,1.0,50,0.5,0.952678021138861,0.000755933192711121,0.9999795704295704,5.589982702328834e-05
vicsek,8.0,1.5,50,0.5,0.8952339000399602,0.0013270852069303736,0.9999823676323678,4.701029844442255e-05
vicsek,8.0,2.0,50,0.5,0.8175695697702297,0.0018726210883544243,0.9999944055944056,1.6391281761474883e-05
vicsek,8.0,2.5,50,0.5,0.7227887542057941,0.0025691308032964547,0.999995004995005,1.708107493018769e-05
vicsek,8.0,3.0,50,0.5,0.6143290645154845,0.0029463299903547354,0.9999990009990011,2.669942476643733e-06
vicsek,8.0,3.5,50,0.5,0.49258674041958045,0.005181682044207137,0.9999920329670329,2.8131727621666314e-05
vicsek,8.0,4.0,50,0.5,0.35276782167832166,0.01260358611737992,0.999996028971029,1.3250868485805303e-05
vicsek,8.0,4.5,50,0.5,0.17421718975024972,0.016369185240351494,0.9999976773226773,8.132100872280556e-06
vicsek,8.0,5.0,50,0.5,0.06372033804195804,0.003390971886011098,1.0,0.0
vicsek,8.0,5.5,50,0.5,0.03881043864135864,0.0007184911286863737,1.0,0.0
vicsek,8.0,6.28,50,0.5,0.03138210001998002,0.0005403545277497069,1.0,0.0
voter,0.1061,0.0,50,0.5,0.9951423605837664,0.02730808801442823,0.8614526084526191,0.16126916038862096
voter,0.1061,0.25,50,0.5,0.7552295461895241,0.08922734621723229,0.667887881047581,0.11738407023227354
voter,0.1061,0.5,50,0.5,0.5640402509396242,0.06901650469018245,0.5014008218792483,0.08377672038616128
voter,0.1061,0.75,50,0.5,0.4597677091083567,0.04081883988182245,0.40468374331067575,0.06944365528041013
voter,0.1061,1.0,50,0.5,0.40784086127948815,0.0291897659485335,0.3528411734026389,0.050301043818497496
voter,0.1061,1.5,50,0.5,0.3413872237584966,0.018622582311011247,0.2783931191843263,0.04813997012169286
voter,0.1061,2.0,50,0.5,0.31372186860455814,0.012708008194318252,0.25369755394642146,0.04519294717275276
voter,0.1061,2.5,50,0.5,0.29140676502998797,0.009834638689453286,0.21832772594162336,0.03629757186935697
voter,0.1061,3.0,50,0.5,0.2830055727948821,0.006837351133640575,0.2135412821031587,0.041463405090664276
voter,0.1061,3.5,50,0.5,0.277719143622551,0.004444895560328732,0.2017445561855258,0.026929406337711737
voter,0.1061,4.0,50,0.5,0.2727208483086765,0.004435670854986564,0.19209315338664537,0.035446216632984674
voter,0.1061,4.5,50,0.5,0.2732055369932027,0.0028649824656501706,0.19923283957616952,0.046091786812632055
voter,0.1061,5.0,50,0.5,0.2703195233826469,0.003388967601011996,0.18804750515793686,0.04208861412026015
voter,0.1061,5.5,50,0.5,0.26952198515793685,0.0030309897980794216,0.1887155976969212,0.03280256384461864
voter,0.1061,6.28,50,0.5,0.269180366277489,0.0024966106063602682,0.19014557093962414,0.04052946423280151
voter,0.1592,0.0,50,0.5,0.9990315418152739,0.0036378858970297933,0.8686695321871251,0.17400859931550045
voter,0.1592,0.25,50,0.5,0.7396410414634146,0.07575632907403825,0.6419967013194722,0.0793903787383399
voter,0.1592,0.5,50,0.5,0.5417859558816474,0.04937753960089189,0.5008341663334666,0.0744847932195505
voter,0.1592,0.75,50,0.5,0.43455258698120747,0.0328522321339318,0.40423480607756895,0.052270768023927563
voter,0.1592,1.0,50,0.5,0.3717229118192722,0.02431015481145337,0.3419397241103557,0.04263577995097645
voter,0.1592,1.5,50,0.5,0.30608338371851257,0.017928789911262955,0.26942123150739705,0.04795167154650155
voter,0.1592,2.0,50,0.5,0.26897715769692127,0.01111573577869005,0.22689024390243898,0.043044976162946495
voter,0.1592,2.5,50,0.5,0.2505184504118353,0.005928285208879107,0.20075969612155137,0.031083836912256323
voter,0.1592,3.0,50,0.5,0.23959914938824473,0.005140887683133829,0.18787734906037584,0.02847262018320866
voter,0.1592,3.5,50,0.5,0.23300943009196323,0.0037038436729075687,0.18220211915233908,0.026652680344687665
voter,0.1592,4.0,50,0.5,0.22852966758896445,0.002865238603217335,0.17992802878848463,0.035896297693136923
voter,0.1592,4.5,50,0.5,0.2255141093802479,0.003013111959279199,0.17228608556577374,0.02994117232129018
voter,0.1592,5.0,50,0.5,0.2236382380247901,0.0023564298260435063,0.16791883246701317,0.023721589304483152
voter,0.1592,5.5,50,0.5,0.22292404419032386,0.002483205078526782,0.16564774090363854,0.03503728319363424
voter,0.1592,6.28,50,0.5,0.2226000007117153,0.0020606661471241003,0.1627593962415034,0.03229067687068011
voter,0.3183,0.0,50,0.5,0.9999455078128748,0.0002292171019632505,0.8933314174330268,0.15840890301737637
voter,0.3183,0.25,50,0.5,0.7306056859096361,0.060101506623518285,0.6518814974010396,0.06801979821574748
voter,0.3183,0.5,50,0.5,0.5086619873810476,0.044908246418209764,0.5365073970411836,0.05188599207052929
voter,0.3183,0.75,50,0.5,0.37921856167133144,0.02745121421653959,0.4374652638944422,0.039964287345564335
voter,0.3183,1.0,50,0.5,0.31550052027988806,0.017873322699920407,0.3519317273090764,0.03729201569975983
voter,0.3183,1.5,50,0.5,0.24920232075969614,0.008660961887251264,0.2711735305877649,0.03385196631396634
voter,0.3183,2.0,50,0.5,0.21008181493802477,0.005757681334128361,0.21635145941623354,0.031110784055758865
voter,0.3183,2.5,50,0.5,0.1908986350979608,0.004283246714849843,0.2007094662135146,0.03000011280395681
voter,0.3183,3.0,50,0.5,0.1777715867093163,0.0034833250499297676,0.18765593762494998,0.033853802127807336
voter,0.3183,3.5,50,0.5,0.1699821875409836,0.0031118267470451413,0.17650039984006397,0.03220748984913323
voter,0.3183,4.0,50,0.5,0.1637585281087565,0.001983475371615755,0.16318497600959617,0.02951318138804589
voter,0.3183,4.5,50,0.5,0.1609119787205118,0.0015652849900706677,0.1653233706517393,0.02945312473491918
voter,0.3183,5.0,50,0.5,0.1585671132347061,0.0016535504401276064,0.16406362455017995,0.029521224685422322
voter,0.3183,5.5,50,0.5,0.15765794974010397,0.0016549645543052275,0.15201894242303077,0.02207802898697401
voter,0.3183,6.28,50,0.5,0.15705946777289084,0.0017650942428832183,0.15808226709316275,0.03246378961984381
voter,2.0,0.0,50,0.5,0.9874201192807192,0.06134569500456005,0.9910382617382616,0.03954149667393581
voter,2.0,0.25,50,0.5,0.6033773604395604,0.09571451714860554,0.9811654345654344,0.008396102597988685
voter,2.0,0.5,50,0.5,0.3477451098901099,0.04838636882686671,0.9752988011988012,0.010916241542378106
voter,2.0,0.75,50,0.5,0.2449669921878122,0.024538260334318752,0.9765369630369629,0.008154369765274217
voter,2.0,1.0,50,0.5,0.19356329068931066,0.015059332139407005,0.978595004995005,0.008072520383201874
voter,2.0,1.5,50,0.5,0.13557495634365632,0.006117878746992135,0.9836806193806195,0.006585250764415297
voter,2.0,2.0,50,0.5,0.10753624605394604,0.004152333273576473,0.9865996003996004,0.005617079778419037
voter,2.0,2.5,50,0.5,0.09114702227772227,0.00338069465686087,0.9896873126873128,0.0041378092582697625
voter,2.0,3.0,50,0.5,0.08089538247752248,0.002021079323341606,0.9914452547452547,0.004079491201469438
voter,2.0,3.5,50,0.5,0.07403367700299701,0.0015535196527184556,0.9914202797202798,0.005304285096198682
voter,2.0,4.0,50,0.5,0.06937856281718281,0.0013806241749596802,0.9927477522477521,0.004029780926894025
voter,2.0,4.5,50,0.5,0.06639012923076923,0.0011499856692390312,0.9925388611388611,0.004704346539244218
voter,2.0,5.0,50,0.5,0.06436730993006994,0.0010656980533138764,0.9930143856143855,0.003993876888039373
voter,2.0,5.5,50,0.5,0.06328359168831167,0.0012656613709292194,0.9923714285714286,0.004511074245014307
voter,2.0,6.28,50,0.5,0.06263592593406594,0.0010751035799003211,0.9932430569430569,0.0032844020883154865
voter,4.0,0.0,50,0.5,0.97199329002997,0.0756274086357998,0.9994694805194807,0.0010903017005382467
voter,4.0,0.25,50,0.5,0.5335994169830169,0.08420670719336536,0.9990483016983016,0.0006445046653183367
voter,4.0,0.5,50,0.5,0.28463116035964037,0.03783071557157664,0.9994021478521478,0.0004939377835297529
voter,4.0,0.75,50,0.5,0.1885987823776224,0.01808505633358502,0.9994768231768232,0.0005211092919599287
voter,4.0,1.0,50,0.5,0.14569814055944055,0.010916104460753098,0.999697002997003,0.00031393056348662143
voter,4.0,1.5,50,0.5,0.10133734777222779,0.005567551979645322,0.9999146853146853,0.00013771143710977247
voter,4.0,2.0,50,0.5,0.07931820019980021,0.002827267528677748,0.9999392607392608,0.00011204155211044655
voter,4.0,2.5,50,0.5,0.06610894647352647,0.0017885481140796613,0.9999844655344655,4.2477895372713675e-05
voter,4.0,3.0,50,0.5,0.058679872647352645,0.0015726509012215148,0.9999824675324674,3.842534637057289e-05
voter,4.0,3.5,50,0.5,0.053164738101898104,0.0010576847415537988,0.9999948551448553,2.0898102634411575e-05
voter,4.0,4.0,50,0.5,0.04937234577422577,0.0009569338411267492,0.9999976523476523,1.0134357462514174e-05
voter,4.0,4.5,50,0.5,0.047068222277722276,0.0008720348792248537,0.999996053946054,1.3717392080464449e-05
voter,4.0,5.0,50,0.5,0.04564208717282717,0.0007475106168596176,0.9999969530469531,1.6545720835073504e-05
voter,4.0,5.5,50,0.5,0.04459210147852148,0.0006615468437948069,0.9999943556443556,1.7787923725822535e-05
voter,4.0,6.28,50,0.5,0.04422799258741259,0.0006585320490585482,0.9999943056943057,1.4942820844812664e-05
voter,8.0,0.0,50,0.5,0.8786998638361639,0.15471685720435835,0.9999912837162838,4.4834886739678563e-05
voter,8.0,0.25,50,0.5,0.3925482584415584,0.087035607722993,0.999998026973027,7.547901881474689e-06
voter,8.0,0.5,50,0.5,0.20688701282717278,0.028322197307304006,0.9999982767232767,8.610638405537441e-06
voter,8.0,0.75,50,0.5,0.14436261812187814,0.01391193200089135,0.9999993756243757,2.9012872782952874e-06
voter,8.0,1.0,50,0.5,0.10688802053946052,0.00895937478043115,0.9999999500499501,3.5320019041514494e-07
voter,8.0,1.5,50,0.5,0.0739074777022977,0.003602228476120949,1.0,0.0
voter,8.0,2.0,50,0.5,0.057247445994006,0.0021359181199156075,1.0,0.0
voter,8.0,2.5,50,0.5,0.04765876353646353,0.0015889426905416097,1.0,0.0
voter,8.0,3.0,50,0.5,0.04179311454545455,0.000918256855499641,1.0,0.0
voter,8.0,3.5,50,0.5,0.037733806713286716,0.0008867908273416262,1.0,0.0
voter,8.0,4.0,50,0.5,0.03517837088911089,0.0007287268895070782,1.0,0.0
voter,8.0,4.5,50,0.5,0.03340851162837163,0.0006023914658769177,1.0,0.0
voter,8.0,5.0,50,0.5,0.032395015104895106,0.0005079086268061985,1.0,0.0
voter,8.0,5.5,50,0.5,0.03166579500499501,0.0005716875000187778,1.0,0.0
voter,8.0,6.28,50,0.5,0.031252371988011986,0.0005164020405066896,1.0,0.0
